[ Start to listen on RaftAddr(ip=127.0.0.1, port=8001), peers size: 2] RaftProcess.hpp:47 2023-07-11 12:13:25.497126		
[ Switch to follower!] raft.cpp:108 2023-07-11 12:13:25.505043		
[ Send heart beats to (127.0.0.1, 8003)] raft.cpp:272 2023-07-11 12:13:26.009644		
[ Send heart beats to (127.0.0.1, 8002)] raft.cpp:272 2023-07-11 12:13:26.034401		
[ Send heart beats to (127.0.0.1, 8003)] raft.cpp:272 2023-07-11 12:13:26.034410		
[ Send heart beats to (127.0.0.1, 8002)] raft.cpp:272 2023-07-11 12:13:26.059535		
[ Send heart beats to (127.0.0.1, 8003)] raft.cpp:272 2023-07-11 12:13:26.059556		
[ Send heart beats to (127.0.0.1, 8002)] raft.cpp:272 2023-07-11 12:13:26.084604		
[ Send heart beats to (127.0.0.1, 8003)] raft.cpp:272 2023-07-11 12:13:26.084847		
[ Send heart beats to (127.0.0.1, 8002)] raft.cpp:272 2023-07-11 12:13:26.107853		
[ Send heart beats to (127.0.0.1, 8003)] raft.cpp:272 2023-07-11 12:13:26.108095		
[ Send heart beats to (127.0.0.1, 8002)] raft.cpp:272 2023-07-11 12:13:26.131597		
[ Send heart beats to (127.0.0.1, 8003)] raft.cpp:272 2023-07-11 12:13:26.131696		
[ Send heart beats to (127.0.0.1, 8002)] raft.cpp:272 2023-07-11 12:13:26.156095		
[ Send heart beats to (127.0.0.1, 8003)] raft.cpp:272 2023-07-11 12:13:26.156100		
	[ Election timeout, start a election.] raft.cpp:157 2023-07-11 12:13:26.171802	
	[ Switch to Candidate!] raft.cpp:119 2023-07-11 12:13:26.171880	
	[ Start a new election term!] raft.cpp:182 2023-07-11 12:13:26.172148	
[ Vote to RaftAddr(ip=127.0.0.1, port=8002)] raft.cpp:67 2023-07-11 12:13:26.172571		
		[ Receive a vote request, but already voted to (127.0.0.1, 8003), reject it.] raft.cpp:57 2023-07-11 12:13:26.172590
	[ Raft nums: 3, get votes: 2] raft.cpp:236 2023-07-11 12:13:26.173707	
	[ Switch to Leader! Term: 2] raft.cpp:130 2023-07-11 12:13:26.173761	
	[ Send heart beats to (127.0.0.1, 8003)] raft.cpp:272 2023-07-11 12:13:26.174296	
	[ Send heart beats to (127.0.0.1, 8001)] raft.cpp:272 2023-07-11 12:13:26.174357	
[ Send heart beats to (127.0.0.1, 8003)] raft.cpp:272 2023-07-11 12:13:26.179847		
[ Send heart beats to (127.0.0.1, 8002)] raft.cpp:272 2023-07-11 12:13:26.179853		
		[ Election timeout, start a election.] raft.cpp:157 2023-07-11 12:13:26.183959
		[ Switch to Candidate!] raft.cpp:119 2023-07-11 12:13:26.184090
		[ Start a new election term!] raft.cpp:182 2023-07-11 12:13:26.184453
[ Receive a vote request, but already voted to (127.0.0.1, 8002), reject it.] raft.cpp:57 2023-07-11 12:13:26.184942		
	[ Out of fashion vote request, term: 2, currentTerm: 2] raft.cpp:51 2023-07-11 12:13:26.184988	
		[ Raft nums: 3, get votes: 1] raft.cpp:236 2023-07-11 12:13:26.185314
	[ Send heart beats to (127.0.0.1, 8003)] raft.cpp:272 2023-07-11 12:13:26.199577	
	[ Send heart beats to (127.0.0.1, 8001)] raft.cpp:272 2023-07-11 12:13:26.199596	
[ Send heart beats to (127.0.0.1, 8003)] raft.cpp:272 2023-07-11 12:13:26.204023		
[ Send heart beats to (127.0.0.1, 8002)] raft.cpp:272 2023-07-11 12:13:26.204046		
	[ Send heart beats to (127.0.0.1, 8001)] raft.cpp:272 2023-07-11 12:13:26.220688	
	[ Send heart beats to (127.0.0.1, 8003)] raft.cpp:272 2023-07-11 12:13:26.220698	
